"keyword","sumFreq","numWords"
"INITIATIVES",4,1
"INSIGHT AND",4,2
"INTEGRATE",4,1
"IS SEEKING",4,2
"JOBS",4,1
"KEYME IS",4,2
"LARGE DATA",4,2
"LARGE DATA SETS",4,3
"LAWS",4,1
"LEAVE",4,1
"LIFECYCLE",4,1
"LIVE",4,1
"MACHINE LEARNING AND",4,3
"MACHINE LEARNING MODELS",4,3
"MACHINE LEARNING OR",4,3
"MACYS",4,1
"MAJOR",4,1
"MAKERS",4,1
"MANNER",4,1
"MARITAL STATUS",4,2
"MATERNITY",4,1
"MAY BE",4,2
"MEASURE",4,1
"MEDICAL DENTAL",4,2
"MEDICAL DENTAL VISION",4,3
"MENTAL",4,1
"MONITORING",4,1
"MONTHLY CONTRIBUTION",4,2
"MORE INFORMATION",4,2
"MPATHIC",4,1
"NOVEL",4,1
"OBJECTIVES",4,1
"OF DATA SCIENCE",4,3
"OFFICE",4,1
"ON THE BASIS",4,3
"ON THE BASIS OF",4,4
"ONGOING",4,1
"OPTIONS",4,1
"OR ANY OTHER",4,3
"OTHER DATA",4,2
"PACKAGE",4,1
"PARENTAL LEAVE FLEXIBLE",4,3
"PARENTAL LEAVE FLEXIBLE PTO",4,4
"PASSION FOR",4,2
"PHYSICAL",4,1
"PIPELINE",4,1
"PIPELINING",4,1
"POTENTIAL",4,1
"POWER",4,1
"PRESENTING",4,1
"PRIMARY RESPONSIBILITY",4,2
"PRINCIPAL",4,1
"PRINCIPAL DATA",4,2
"PRINCIPAL DATA SCIENTIST",4,3
"PROCEDURAL",4,1
"PROFESSIONAL",4,1
"PROVEN TRACK",4,2
"PROVEN TRACK RECORD",4,3
"PROVEN TRACK RECORD OF",4,4
"PROVIDE THE",4,2
"PROVIDE THE TEAM",4,3
"PROVIDE THE TEAM WITH",4,4
"PROVIDE THE TEAM WITH ADHOC",4,5
"PTO AMAZON EMPLOYEE DISCOUNT MONTHLY CONTRIBUTION",4,6
"PYTHON AND",4,2
"QUALIFIED",4,1
"QUALIFIED APPLICANTS",4,2
"QUANTIFY",4,1
"QUESTIONS",4,1
"REALITY",4,1
"RECEIVE",4,1
"RECORD",4,1
"RECORD OF",4,2
"RECORDS",4,1
"RELATED FIELD",4,2
"RELATIONSHIP",4,1
"REQUIREMENT",4,1
"RESPONSIBILITY",4,1
"RETIREMENT",4,1
"RISKS",4,1
"ROADBLOCKS",4,1
"SALES",4,1
"SCIENCE ENGINEERING",4,2
"SCIENCE TEAM",4,2
"SCIENTIFIC",4,1
"SENIOR",4,1
"SIGNIFICANT",4,1
"SPARK",4,1
"STAKEHOLDER",4,1
"STANDARDS",4,1
"STOCK",4,1
"STRUCTURED",4,1
"SUPPLEMENTAL",4,1
